studentID	moduleID	grade_points	timestamp
0	0	18.0	1.0
0	1	0.0	5.0
0	2	0.0	2.0
0	3	0.0	5.0
0	4	16.0	14.0
0	5	18.0	10.0
0	6	18.0	6.0
0	7	18.0	10.0
0	8	0.0	10.0
0	9	0.0	10.0
0	10	0.0	2.0
0	11	18.0	6.0
0	12	0.0	5.0
0	13	20.0	5.0
0	14	16.0	14.0
0	15	0.0	1.0
0	16	12.0	1.0
0	17	20.0	2.0
0	18	18.0	6.0
0	19	0.0	10.0
0	20	20.0	6.0
0	21	0.0	1.0
0	22	16.0	14.0
0	23	0.0	10.0
0	24	20.0	6.0
0	25	18.0	5.0
0	26	10.0	2.0
0	27	20.0	2.0
0	28	14.0	14.0
0	29	14.0	6.0
0	30	16.0	1.0
1	12	0.0	5.0
1	1	16.0	6.0
1	27	0.0	2.0
1	15	0.0	1.0
1	31	20.0	6.0
1	32	16.0	14.0
1	33	0.0	5.0
1	10	18.0	2.0
1	34	0.0	5.0
1	30	16.0	1.0
1	24	12.0	5.0
1	26	0.0	2.0
1	35	16.0	10.0
1	2	20.0	2.0
1	16	0.0	1.0
1	11	0.0	6.0
1	36	0.0	6.0
1	7	0.0	10.0
1	37	0.0	1.0
1	38	0.0	2.0
1	3	16.0	5.0
1	39	18.0	14.0
1	40	14.0	14.0
1	0	18.0	1.0
1	29	14.0	10.0
1	25	18.0	6.0
1	23	40.0	10.0
2	41	14.0	1.0
2	42	10.0	9.0
2	11	0.0	5.0
2	43	12.0	2.0
2	7	0.0	9.0
2	2	12.0	1.0
2	24	16.0	5.0
2	44	16.0	6.0
2	45	8.0	10.0
2	10	0.0	5.0
2	25	12.0	5.0
2	46	10.0	9.0
2	15	18.0	1.0
2	47	12.0	9.0
2	48	0.0	6.0
2	49	12.0	9.0
2	50	10.0	10.0
2	51	20.0	6.0
2	52	16.0	10.0
2	53	0.0	6.0
2	27	8.0	1.0
2	54	12.0	10.0
2	26	12.0	1.0
2	55	14.0	2.0
2	16	10.0	2.0
2	0	16.0	2.0
2	3	0.0	2.0
2	30	16.0	5.0
2	56	12.0	6.0
2	57	10.0	10.0
3	30	18.0	1.0
3	15	0.0	1.0
3	11	18.0	10.0
3	58	20.0	1.0
3	1	14.0	10.0
3	59	20.0	5.0
3	60	18.0	14.0
3	61	18.0	10.0
3	62	0.0	5.0
3	63	16.0	14.0
3	64	20.0	5.0
3	0	0.0	1.0
3	12	20.0	5.0
3	10	0.0	2.0
3	27	20.0	2.0
3	26	0.0	2.0
3	2	18.0	2.0
3	65	16.0	10.0
3	66	18.0	14.0
3	67	0.0	6.0
3	68	14.0	6.0
3	69	20.0	6.0
3	25	18.0	6.0
3	70	18.0	10.0
3	16	0.0	1.0
3	3	18.0	5.0
3	71	20.0	6.0
3	72	20.0	14.0
3	73	0.0	2.0
4	16	14.0	2.0
4	11	14.0	5.0
4	2	12.0	1.0
4	35	14.0	5.0
4	74	20.0	6.0
4	75	20.0	9.0
4	76	16.0	9.0
4	60	20.0	10.0
4	3	0.0	6.0
4	77	0.0	9.0
4	25	0.0	2.0
4	12	16.0	5.0
4	24	12.0	5.0
4	0	12.0	2.0
4	30	14.0	2.0
4	15	0.0	2.0
4	78	20.0	10.0
4	79	0.0	1.0
4	10	0.0	1.0
4	80	14.0	6.0
4	1	16.0	5.0
4	81	16.0	10.0
4	50	16.0	9.0
4	82	16.0	1.0
4	26	14.0	1.0
4	7	0.0	6.0
4	83	14.0	6.0
4	84	16.0	9.0
4	85	20.0	10.0
4	27	12.0	1.0
5	86	18.0	5.0
5	87	18.0	5.0
